Best configuration	1.0	0.001	431.0	Best loss	0.06450988011285663
Time	Trials	Epochs	Top loss
0.0	0.0	0.0	0.0
13.227692127227783	1.0	4.0	0.08577030262798072
20.721750020980835	2.0	8.0	0.08577030262798072
28.332958936691284	3.0	12.0	0.07492272577434778
36.221237897872925	4.0	16.0	0.07492272577434778
44.29277801513672	5.0	20.0	0.07492272577434778
56.87869215011597	6.0	24.0	0.07492272577434778
69.00258612632751	7.0	28.0	0.07492272577434778
78.511234998703	8.0	32.0	0.07492272577434778
86.71133422851562	9.0	36.0	0.07492272577434778
94.28807497024536	10.0	40.0	0.07492272577434778
101.8381519317627	11.0	44.0	0.06450988011285663
109.03427004814148	12.0	48.0	0.06450988011285663
116.55202102661133	13.0	52.0	0.06450988011285663
123.95174813270569	14.0	56.0	0.06450988011285663
131.1769049167633	15.0	60.0	0.06450988011285663
139.9910409450531	16.0	64.0	0.06450988011285663
151.53727102279663	17.0	68.0	0.06450988011285663
159.60729503631592	18.0	72.0	0.06450988011285663
167.1549789905548	19.0	76.0	0.06450988011285663
174.9187729358673	20.0	80.0	0.06450988011285663
