Best configuration	tanh	0.001	384.0	Best loss	0.07034215783327818
Time	Trials	Epochs	Top loss
0.0	0.0	0.0	0.0
3.3976190090179443	1.0	1.4444444444444444	0.21500184381008147
7.134529113769531	2.0	2.888888888888889	0.21500184381008147
10.080092906951904	3.0	4.333333333333333	0.21500184381008147
12.985856056213379	4.0	5.777777777777778	0.1330559413552284
15.824692964553833	5.0	7.222222222222222	0.1330559413552284
19.62617802619934	6.0	8.666666666666666	0.1330559413552284
22.77387309074402	7.0	10.11111111111111	0.1330559413552284
25.790406942367554	8.0	11.555555555555555	0.1330559413552284
28.932043075561523	9.0	13.0	0.1330559413552284
31.99474310874939	10.0	14.444444444444445	0.1330559413552284
41.00772404670715	11.0	18.77777777777778	0.07846613320559263
50.75917911529541	12.0	23.11111111111111	0.07846613320559263
60.56528115272522	13.0	27.444444444444443	0.07846613320559263
89.70418906211853	14.0	40.44444444444444	0.07846613320559263
100.16461181640625	15.0	44.77777777777778	0.07846613320559263
109.76382899284363	16.0	49.111111111111114	0.07846613320559263
118.77402400970459	17.0	53.44444444444445	0.07846613320559263
127.77819299697876	18.0	57.777777777777786	0.07846613320559263
137.33120322227478	19.0	62.11111111111112	0.07846613320559263
164.64966297149658	20.0	75.11111111111111	0.07846613320559263
191.52522802352905	21.0	88.11111111111111	0.07846613320559263
219.55704879760742	22.0	101.11111111111111	0.07034215783327818
247.01092410087585	23.0	114.11111111111111	0.07034215783327818
274.687851190567	24.0	127.11111111111111	0.07034215783327818
