Best configuration	tanh	0.85	0.8555	0.005	Best loss	0.10540816968157887
Time	Trials	Epochs	Top loss
0.0	0.0	0.0	0.0
11.90868091583252	1.0	1.7777777777777777	0.16062808830738068
15.094758987426758	2.0	3.5555555555555554	0.16062808830738068
18.711738109588623	3.0	5.333333333333333	0.16062808830738068
21.999506950378418	4.0	7.111111111111111	0.16062808830738068
25.164714813232422	5.0	8.88888888888889	0.1314399202108383
28.318844079971313	6.0	10.666666666666668	0.1314399202108383
31.38507890701294	7.0	12.444444444444446	0.1314399202108383
34.52233600616455	8.0	14.222222222222225	0.1314399202108383
37.91313290596008	9.0	16.000000000000004	0.1314399202108383
41.08098292350769	10.0	17.777777777777782	0.1314399202108383
54.16620683670044	11.0	23.111111111111114	0.08899019785523414
68.11770701408386	12.0	28.444444444444446	0.08899019785523414
80.92869710922241	13.0	33.77777777777778	0.0886085535749793
120.94855999946594	14.0	49.77777777777778	0.0886085535749793
133.44835495948792	15.0	55.111111111111114	0.0886085535749793
145.98225092887878	16.0	60.44444444444445	0.0886085535749793
159.70358896255493	17.0	65.77777777777779	0.0886085535749793
172.7090301513672	18.0	71.11111111111111	0.0886085535749793
185.50798678398132	19.0	76.44444444444444	0.07939857431054115
224.45775604248047	20.0	92.44444444444444	0.07939857431054115
263.6270740032196	21.0	108.44444444444444	0.07939857431054115
302.13547801971436	22.0	124.44444444444444	0.07939857431054115
339.34832406044006	23.0	140.44444444444446	0.07939857431054115
377.5352759361267	24.0	156.44444444444446	0.07939857431054115
