Best configuration	3.0	0.8555	0.9	0.001	Best loss	0.07509562870487571
Time	Trials	Epochs	Top loss
0.0	0.0	0.0	0.0
24.51569390296936	1.0	8.0	0.07509562870487571
44.153563022613525	2.0	16.0	0.07509562870487571
61.341442823410034	3.0	24.0	0.07509562870487571
79.32923197746277	4.0	32.0	0.07509562870487571
96.9200279712677	5.0	40.0	0.07509562870487571
114.7749011516571	6.0	48.0	0.07509562870487571
132.5883400440216	7.0	56.0	0.07509562870487571
150.7777030467987	8.0	64.0	0.07509562870487571
170.435781955719	9.0	72.0	0.07509562870487571
189.47263503074646	10.0	80.0	0.07509562870487571
209.62535691261292	11.0	88.0	0.07509562870487571
230.57003712654114	12.0	96.0	0.07509562870487571
249.8090419769287	13.0	104.0	0.07509562870487571
269.3994619846344	14.0	112.0	0.07509562870487571
288.7291569709778	15.0	120.0	0.07509562870487571
308.2557740211487	16.0	128.0	0.07509562870487571
327.91523909568787	17.0	136.0	0.07509562870487571
347.1142508983612	18.0	144.0	0.07509562870487571
366.8221778869629	19.0	152.0	0.07509562870487571
386.1532471179962	20.0	160.0	0.07509562870487571
405.69972705841064	21.0	168.0	0.07509562870487571
425.2919898033142	22.0	176.0	0.07509562870487571
444.30449080467224	23.0	184.0	0.07509562870487571
464.1918489933014	24.0	192.0	0.07509562870487571
485.83477807044983	25.0	200.0	0.07509562870487571
509.6193480491638	26.0	208.0	0.07509562870487571
530.4464108943939	27.0	216.0	0.07509562870487571
550.4583828449249	28.0	224.0	0.07509562870487571
571.0153398513794	29.0	232.0	0.07509562870487571
590.9464769363403	30.0	240.0	0.07509562870487571
